PTX Hexadecimal Floating-Point Constants
================================================================================

Total unique constants: 7607
Total occurrences: 1224282

DOUBLE-PRECISION CONSTANTS (0d/0D + 16 hex digits):
--------------------------------------------------------------------------------
0dBF4356626EBF9BFA: 115 occurrences
0d3F5BCA68F73D6AFC: 115 occurrences
0dBF2B6B69EBBC280B: 115 occurrences
0dBF9396685912A453: 115 occurrences
0d3FBA4F4E2A1ABEF8: 115 occurrences
0d3FE45F306DC9C8BB: 115 occurrences
0d3FC06EBA8214DB69: 115 occurrences
0d3FB0000000000000: 115 occurrences
0d3FD52F1A9FBE76C9: 112 occurrences
0d3FE9884533D43651: 111 occurrences
0d3FEFAE147AE147AE: 110 occurrences
0d3F60624DD2F1A9FC: 109 occurrences
0d40010A3D70A3D70A: 108 occurrences
0d3FBD2F1A9FBE76C9: 104 occurrences
0d3FBC71C71C71C71C: 102 occurrences
0d3FE2C8B439581062: 96 occurrences
0d3E21EEA7C1EF8528: 94 occurrences
0dBE927E4F8E06E6D9: 94 occurrences
0d3EFA01A019DDBCE9: 94 occurrences
0dBF56C16C16C15D47: 94 occurrences
0d3FA5555555555551: 94 occurrences
0dBE5AE5F12CB0D246: 94 occurrences
0d3EC71DE369ACE392: 94 occurrences
0dBF2A01A019DB62A1: 94 occurrences
0d3F81111111110818: 94 occurrences
0dBFC5555555555554: 94 occurrences
0d3FE75AE1CDE5D181: 92 occurrences
0d3E45798EE2308C3A: 89 occurrences
0d3FCBC6A7EF9DB22D: 88 occurrences
0d4026000000000000: 86 occurrences
0d3F9C71C71C71C71D: 86 occurrences
0d3FF6A09E667F3BCD: 84 occurrences
0d3FA0000000000000: 82 occurrences
0d3F676577531DB446: 82 occurrences
0d403A000000000000: 82 occurrences
0d3E112E0BE826D695: 79 occurrences
0d3CA1A62633145C07: 78 occurrences
0dBFE45F306DC9C883: 78 occurrences
0d3EE0000000000000: 78 occurrences
0d3EF0000000000000: 77 occurrences
0d3FD322D0E5604189: 76 occurrences
0d3FD999999999999A: 74 occurrences
0d40C81C8000000000: 73 occurrences
0dC00921FB54442D18: 67 occurrences
0d3FF000010C6F7A0B: 67 occurrences
0dC008000000000000: 66 occurrences
0d400921FB5A7ED197: 66 occurrences
0d3FECCCCCCCCCCCCD: 65 occurrences
0dBFE5555555555555: 65 occurrences
0d3DD2589EFFED8ACC: 64 occurrences
0d3FE6A09E667F3BCC: 62 occurrences
0d3FE9884533D3D180: 62 occurrences
0dBEF9757C5B27EBB1: 61 occurrences
0d3EE48DAC2799BCB9: 61 occurrences
0d3F0980E90FD91E04: 61 occurrences
0dBEFAE2B0417D7E1D: 61 occurrences
0d3F119F5341BFBA57: 61 occurrences
0d3F15E791A00F6919: 61 occurrences
0d3F2FF2E7FADEC73A: 61 occurrences
0d3F434BC1B206DA62: 61 occurrences
0d3F57DB18EF2F83F9: 61 occurrences
0d3F6D6D2E7AE49FBC: 61 occurrences
0d3F8226E3A816A776: 61 occurrences
0d3F9664F485D25660: 61 occurrences
0d3FABA1BA1BABF31D: 61 occurrences
0d3FC11111111105D2: 61 occurrences
0d3FD555555555555E: 61 occurrences
0d408F400000000000: 59 occurrences
0d3F80000000000000: 57 occurrences
0d403E000000000000: 56 occurrences
0d3FD8000000000000: 56 occurrences
0d3FA47AE147AE147B: 56 occurrences
0d3E7AD7F29ABCAF48: 55 occurrences
0d3DDB7CDFD9D7BDBB: 55 occurrences
0d3F50000000000000: 55 occurrences
0d3FAC71C71C71C71C: 55 occurrences
0d3FA999999999999A: 54 occurrences
0d4056800000000000: 53 occurrences
0d3FC47AE147AE147B: 52 occurrences
0d4069000000000000: 52 occurrences
0d406A9FDC06BCD51D: 50 occurrences
0d3FECCCCCC0000000: 50 occurrences
0d3FEFF7CEE0000000: 50 occurrences
0d3F70000000000000: 49 occurrences
0d3CB0000000000000: 49 occurrences
0d3FFD1EB851EB851F: 48 occurrences
0d400C000000000000: 48 occurrences
0d4062000000000000: 48 occurrences
0d3FB555555551AB15: 48 occurrences
0d3FD47AE147AE147B: 45 occurrences
0d3F74CEC41DD1A21F: 45 occurrences
0d3FA4CEC41DD1A21F: 45 occurrences
0d400199999999999A: 45 occurrences
0dC415AF1D78B58C40: 45 occurrences
0d3F90000000000000: 44 occurrences
0d3F376577531DB446: 44 occurrences
0d4003333333333333: 43 occurrences
0dC024000000000000: 42 occurrences
0d3FEAAAAAAAAAAAAB: 42 occurrences
0dFFEFFFFFFFFFFFFF: 41 occurrences
0dBFE8000000000000: 41 occurrences
0d3F21D3F9222681B0: 41 occurrences
0d3F476577531DB446: 41 occurrences
0d3F7F36262CBA732E: 41 occurrences
0dC056800000000000: 41 occurrences
0d3FB1EB851EB851EC: 40 occurrences
0d401222B6AE7D566D: 40 occurrences
0d3C670EF54646D497: 40 occurrences
0d3FF199999999999A: 40 occurrences
0d3F33A92A30553261: 40 occurrences
0d3FE2000000000000: 40 occurrences
0d3F947AE147AE147B: 39 occurrences
0d4057C00000000000: 39 occurrences
0d404E000000000000: 38 occurrences
0d3FFAAAAAAAAAAAAB: 38 occurrences
0dC018000000000000: 37 occurrences
0d3FEB333333333333: 37 occurrences
0d3F9F36262CBA732E: 37 occurrences
0d4028000000000000: 36 occurrences
0dBFB999999999999A: 36 occurrences
0d402921FB54442D18: 36 occurrences
0d3EFC4FC1DF3300DE: 36 occurrences
0d4057800000000000: 36 occurrences
0dBFD0000000000000: 34 occurrences
0d41DFFFFFFFC00000: 34 occurrences
0d4030000000000000: 33 occurrences
0d402E000000000000: 32 occurrences
0dC7EFFFFFE0000000: 31 occurrences
0dBF1A36E2EB1C432D: 31 occurrences
0d3F2A36E2EB1C432D: 31 occurrences
0d40C3880000000000: 31 occurrences
0dBFF2AAAAAAAAAAAB: 30 occurrences
0d3FFD555555555555: 30 occurrences
0dC001555555555555: 30 occurrences
0dBFFAAAAAAAAAAAAB: 30 occurrences
0d3FE2788CFC6FB619: 29 occurrences
0d3DD257B4D002790D: 29 occurrences
0d3F4523FE8CE352CB: 29 occurrences
0d3FE238DA3C21187E: 29 occurrences
0d40047AE147AE147B: 29 occurrences
0d3EE4F8B580000000: 28 occurrences
0d4076800000000000: 28 occurrences
0d3F74D12018A43BB4: 28 occurrences
0d3FB2837DCE61F843: 28 occurrences
0dBE44E1C6FD03D328: 28 occurrences
0dBDF8774AD4E0BFD7: 28 occurrences
0dBE4330149F7A56B6: 28 occurrences
0d3E7BEDDED8376273: 28 occurrences
0d3E6F9254C3ABF22B: 28 occurrences
0dBEAB9068C2148CF0: 28 occurrences
0d3E94C6454DB34009: 28 occurrences
0d3ED7F1C378F2311D: 28 occurrences
0dBEE78E051C6D5C58: 28 occurrences
0dBEF995B4EAD14A90: 28 occurrences
0d3F23BE27CF0A29B2: 28 occurrences
0dBF2A1DEF3E81672E: 28 occurrences
0dBF48D4ABE68C1713: 28 occurrences
0d3F749C67210DD6B4: 28 occurrences
0dBF9096238568E357: 28 occurrences
0d3FA3079EDF8C2DC9: 28 occurrences
0dBFB0FB06DFF601FC: 28 occurrences
0d3FB7FEE004DFBCDC: 28 occurrences
0dBFB9DDB23C3DB8C6: 28 occurrences
0d3FB16ECEFCFA5FDA: 28 occurrences
0d3F8F7F5DF66FB6D6: 28 occurrences
0dBFC1DF1AD154A29D: 28 occurrences
0d3FF3BA5916E9FD7F: 28 occurrences
0d3FE6666666666666: 28 occurrences
0d3FDAAAAAAAAAAAAB: 28 occurrences
0d3FF2AAAAAAAAAAAC: 28 occurrences
0d3F747AE147AE147B: 27 occurrences
0d3FDCCCCCCCCCCCCD: 27 occurrences
0d3FF3333333333333: 27 occurrences
0dBFF8000000000000: 27 occurrences
0d3F947AE147AE147C: 27 occurrences
0dBFC0000000000000: 26 occurrences
0d3FD70A3D70A3D70A: 26 occurrences
0d401238DA3C21187E: 26 occurrences
0dBE8AF7049AE8A594: 26 occurrences
0d3E381B4960FCF5C9: 26 occurrences
0d3EB301D46D4B22F5: 26 occurrences
0dBEB50272AEED0FC4: 26 occurrences
0dBEF51CE1A40516F8: 26 occurrences
0d3F20C8AA7419084C: 26 occurrences
0dBF2C3650196BAD8A: 26 occurrences
0dBF531711365A3E26: 26 occurrences
0d3F7D919C52A7DF35: 26 occurrences
0dBF83B4AF28386F4D: 26 occurrences
0dBFA59AF103C37B4D: 26 occurrences
0d3FC5512320B439EF: 26 occurrences
0dBFA5815E8FA26F4F: 26 occurrences
0dBFE4FCF4026AFA2B: 26 occurrences
0d3F73C25DA81303D5: 26 occurrences
0dBF64BEE47C38A637: 26 occurrences
0dBF6B7C37A96CFC72: 26 occurrences
0d3F35A85ABDE1E324: 26 occurrences
0d3F4A8B28F07B3F05: 26 occurrences
0dBF0A15D1D45A282F: 26 occurrences
0dBF4367D3468CB5BE: 26 occurrences
0d3F12471B0E9F1005: 26 occurrences
0d3F49B1004744D5C4: 26 occurrences
0dBF2E13CE69AB4B7F: 26 occurrences
0dBF65F7268ECF8A01: 26 occurrences
0d3F6C71C71C71ACE0: 26 occurrences
0d3FB5555555555556: 26 occurrences
0d4040000000000000: 26 occurrences
0d3FF7E76C8B439581: 26 occurrences
0dBFC999999999999A: 25 occurrences
0d4004000000000000: 25 occurrences
0d4032000000000000: 25 occurrences
0d3FD6666666666666: 25 occurrences
0d4073B00000000000: 25 occurrences
0d3FEF5DCC63F14120: 25 occurrences
0d3F57C87E5E7FBD25: 25 occurrences
0d4038000000000000: 24 occurrences
0d3FE851EB851EB852: 24 occurrences
0d3FD53F7CED916873: 24 occurrences
0d3FC3333333333333: 24 occurrences
0d40097D60E94EE393: 24 occurrences
0d3F40000000000000: 24 occurrences
0d403B000000000000: 24 occurrences
0d3FC70A3D80000000: 24 occurrences
0d412E848000000000: 24 occurrences
0d3FC5555547044B69: 24 occurrences
0d41CDCD6500000000: 24 occurrences
0d3FF4644FA05143BF: 24 occurrences
0d3F60000000000000: 24 occurrences
0d4000CCCCCCCCCCCD: 23 occurrences
0d400921FB53C8D4F1: 23 occurrences
0dC014000000000000: 23 occurrences
0d403C000000000000: 23 occurrences
0dBFE999999999999A: 22 occurrences
0d4054000000000000: 22 occurrences
0d3FCAE147AE147AE1: 22 occurrences
0d407F400000000000: 22 occurrences
0d3FF6666666666666: 22 occurrences
0d3F20000000000000: 21 occurrences
0d3F82231832FCAC8E: 21 occurrences
0d3FE47AE147AE147B: 21 occurrences
0d4068E00000000000: 21 occurrences
0d3F9C71C71C71C71C: 21 occurrences
0d47EFFFFFE0000000: 20 occurrences
0dC03E000000000000: 20 occurrences
0d400E000000000000: 20 occurrences
0d3FEDA9FBE76C8B44: 20 occurrences
0d3FD9884533D43651: 20 occurrences
0d3FED8A0902DE00D2: 20 occurrences
0d4014666666666666: 20 occurrences
0d40040D931FF62706: 20 occurrences
0d40DFFFC000000000: 20 occurrences
0d404CA4EA4A8C154D: 20 occurrences
0d3FFB333333333333: 20 occurrences
0d3F524924A06C1B5A: 20 occurrences
0dBFE24924A003A73B: 20 occurrences
0d7FF8000000000000: 19 occurrences
0dBEB0C6F7A0B5ED8D: 19 occurrences
0d20CA2FE76A3F9475: 19 occurrences
0d4060000000000000: 19 occurrences
0d3DF0000000000000: 19 occurrences
0d3F30000000000000: 19 occurrences
0d4033000000000000: 19 occurrences
0d3FEFFFFFFFFFFFFF: 19 occurrences
0dC058C00000000000: 18 occurrences
0d3FD3212D77318FC5: 18 occurrences
0d3FF5555555555555: 18 occurrences
0dAB2BFF2EE48E0530: 18 occurrences
0d2B2BFF2EE48E0530: 18 occurrences
0d3E00000000200000: 18 occurrences
0d3FD51EB851EB851F: 18 occurrences
0d403D000000000000: 18 occurrences
0d4376345785D8A000: 18 occurrences
0d40F86A0000000000: 17 occurrences
0d3FEFF7CED916872B: 17 occurrences
0d3FEFFFFDE7210BE9: 17 occurrences
0d4020368DB8BAC711: 17 occurrences
0d408C3A6666666666: 17 occurrences
0d3FEE666666666666: 17 occurrences
0d3DF000000D10000B: 17 occurrences
